,min,max,mean,std
333,0.0004557920366021,0.1890665193059447,0.019047977238123716,0.02557290500466084
334,4.381051984018327e-05,0.0892115212466955,0.005982628691239217,0.008075621441354368
335,0.0,0.0,0.0,0.0
336,0.0,0.0,0.0,0.0
337,0.0,0.0,0.0,0.0
338,0.000438156293425,0.2056064547730729,0.018229936947037634,0.029746532102269102
339,4.301343239621427e-05,0.1099564171319813,0.004410259106421912,0.009185378435525934
340,0.0,0.0,0.0,0.0
341,0.0,0.0,0.0,0.0
342,0.0,0.0,0.0,0.0
343,0.0003722454142701,0.2414485771522491,0.02247545100453667,0.032232351533927325
344,2.222842081876165e-05,0.1972744805382894,0.009136736158218297,0.01654429829653103
345,0.0,0.0,0.0,0.0
346,0.0,0.0,0.0,0.0
347,0.0,0.0,0.0,0.0
348,0.0003867734844808,0.2753906286134702,0.03213357299765873,0.03783459340519497
349,5.202399054521085e-05,0.1310918728460982,0.01304956010700947,0.01615908489906037
350,0.0,0.0,0.0,0.0
351,0.0,0.0,0.0,0.0
352,0.0,0.0,0.0,0.0
353,0.000693067358996,0.2614613318844616,0.02933130517264377,0.03700299317235547
354,0.0002237871347533,0.1615726240777385,0.012435173698589198,0.017419337928733288
355,0.0,0.0,0.0,0.0
356,0.0,0.0,0.0,0.0
357,0.0,0.0,0.0,0.0
358,0.0004389597300592,0.2460023630323888,0.018220580908301906,0.035548754756626534
359,3.3527870938619577e-05,0.1222763168003497,0.005114852496086822,0.012832476004262265
360,0.0,0.0,0.0,0.0
361,0.0,0.0,0.0,0.0
362,0.0,0.0,0.0,0.0
363,0.0004231521827139,0.2723358529810707,0.018707558229841135,0.03063074907525666
364,2.4729308365205603e-05,0.1021072972269625,0.005372877548007928,0.010882539441292367
365,0.0,0.0,0.0,0.0
366,0.0,0.0,0.0,0.0
367,0.0,0.0,0.0,0.0
368,0.0004632284436797,0.354627290474982,0.033960883373893976,0.04952285920729153
369,4.9097614406214925e-05,0.228410785312549,0.017208092425412085,0.032926880392834215
370,0.0,0.0,0.0,0.0
371,0.0,0.0,0.0,0.0
372,0.0,0.0,0.0,0.0
373,0.0005775250719277,0.2349375893958867,0.033930590083726994,0.043362666470361924
374,0.00010003164468,0.1945938878759431,0.018098879402141263,0.02725459215604082
375,0.0,0.0,0.0,0.0
376,0.0,0.0,0.0,0.0
377,0.0,0.0,0.0,0.0
378,0.0003547661079152,0.2505054549450255,0.01695576412598005,0.03125714206972356
379,1.5201786146485508e-05,0.122767443163363,0.006164836318909775,0.013433292344988844
380,0.0,0.0,0.0,0.0
381,0.0,0.0,0.0,0.0
